id,image_path,audio_path,text,shard_id,local_idx,global_idx
751,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/751.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/751.mp3,title:人体工学椅家用电脑椅办公椅子久坐舒适学生宿舍电竞椅学习靠背椅 | 商品名称:人体工学椅家用电脑椅办公椅子久坐舒适学生宿舍电竞椅学习靠背椅 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:110 | 店铺名称:两叶轻舟 | 所属地区名称:浙江 | ASR:人体工学以家用电脑以办公椅子九座舒适学生素设点净以学习靠背椅。,3,0,750
752,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/752.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/752.mp3,title:电脑椅子舒适久坐办公椅靠背椅子职员会议椅学生宿舍人体工学转 | 商品名称:电脑椅子舒适久坐办公椅靠背椅子职员会议椅学生宿舍人体工学转 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:52 | 店铺名称:诺司迪旗舰店 | 所属地区名称:河北 | ASR:电脑椅子舒适久座半公益靠背椅子职员会议以学生素社人体攻学转。,3,1,751
753,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/753.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/753.mp3,title:得力普乐士办公座椅办公室电脑转椅现代简约家用舒适久坐靠背子 | 商品名称:得力普乐士办公座椅办公室电脑转椅现代简约家用舒适久坐靠背子 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:209 | 店铺名称:得力普乐士旗舰店 | 所属地区名称:浙江 | ASR:德里·普勒士办公做一办公室电脑赚以现代检约家用舒适久坐靠被子。,3,2,752
754,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/754.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/754.mp3,title:Westyle办公椅Curve人体工学电脑椅子舒适久坐学习转椅书桌椅家用 | 商品名称:Westyle办公椅Curve人体工学电脑椅子舒适久坐学习转椅书桌椅家用 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:326.83 | 店铺名称:westyle旗舰店 | 所属地区名称:广东 | ASR:Wesdios 办公以客人体工学电脑椅子舒适久坐学习转移输桌椅家用。,3,3,753
755,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/755.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/755.mp3,title:电脑椅子办公椅家用舒适久坐女生卧室椅宿舍靠背椅化妆椅学习座椅 | 商品名称:电脑椅子办公椅家用舒适久坐女生卧室椅宿舍靠背椅化妆椅学习座椅 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:108 | 店铺名称:领域家具 | 所属地区名称:浙江 | ASR:电脑椅子办公宜 家用舒适 九座女生握视以 速射 靠背椅 化妆椅 学习作椅。,3,4,754
756,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/756.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/756.mp3,title:科润W6丨人体工学椅子舒适久坐办公椅家用电脑椅办公室午睡两用座椅电竞椅 | 商品名称:科润W6丨人体工学椅子舒适久坐办公椅家用电脑椅办公室午睡两用座椅电竞椅 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:295.5 | 店铺名称:科润旗舰店 | 所属地区名称:浙江 | ASR:科准W65人体工学以责舒适九座办公以家用电脑以办公室5睡两用坐以电竞椅。,3,5,755
757,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/757.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/757.mp3,title:电脑椅学生宿舍人体工学椅子办公沙发椅家用舒适久坐不累懒人子 | 商品名称:电脑椅学生宿舍人体工学椅子办公沙发椅家用舒适久坐不累懒人子 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:266 | 店铺名称:顶乐家居旗舰店 | 所属地区名称:浙江 | ASR:电脑以学生素事人体工学椅子办公杀发以家用舒适久坐不累拦人子。,3,6,756
758,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/758.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/758.mp3,title:电脑椅办公椅子办公室职员椅宿舍家用大学生舒适久坐麻将靠背子 | 商品名称:电脑椅办公椅子办公室职员椅宿舍家用大学生舒适久坐麻将靠背子 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:88 | 店铺名称:畅东旗舰店 | 所属地区名称:浙江 | ASR:电脑以办公以资办公室支援以宿舍加用大学生舒适久坐麻将靠被子。,3,7,757
759,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/759.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/759.mp3,title:躺椅折叠午休办公室两用椅子家用午睡舒服久坐学生宿舍寝室电脑 | 商品名称:躺椅折叠午休办公室两用椅子家用午睡舒服久坐学生宿舍寝室电脑 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:84 | 店铺名称:restar瑞仕达官方旗舰店 | 所属地区名称:江西 | ASR:糖以折叠五修办公室两用以则加用五税舒服九座学生素设请示电脑。,3,8,758
760,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/760.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/760.mp3,title:电脑椅子办公椅家用舒适久坐女生卧室化妆椅宿舍学生学习书桌座 | 商品名称:电脑椅子办公椅家用舒适久坐女生卧室化妆椅宿舍学生学习书桌座 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:128 | 店铺名称:椅天下家具 | 所属地区名称:浙江 | ASR:电脑椅子办公宜家用书室九座女生握室化妆椅素色学生学习书桌座。,3,9,759
761,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/761.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/761.mp3,title:卡弗特人体工学椅电脑椅家用久坐舒适电竞椅宿舍椅子可躺座 | 商品名称:卡弗特人体工学椅电脑椅家用久坐舒适电竞椅宿舍椅子可躺座 | label:办公椅 | Llabel:家具商品 | 商品分类:家具商品 | 商品价格:355 | 店铺名称:卡弗特旗舰店 | 所属地区名称:浙江 | ASR:Kafu-te人体工学以电脑以家用久座舒适电竞以素设椅子可躺座。,3,10,760
