id,image_path,audio_path,text,shard_id,local_idx,global_idx
501,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/501.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/501.mp3,title:小牛电动摩托车NPlay铅酸电池高速超长续航成人电摩 | 商品名称:小牛电动摩托车NPlay铅酸电池高速超长续航成人电摩 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:3849 | 店铺名称:小牛电动旗舰店 | 所属地区名称:江苏 | ASR:小牛电动摩托车连 play 千酸电池高速超常续航成人电磨。,2,0,500
502,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/502.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/502.mp3,title:小牛电动摩托车FX Sport ABS成人铅酸电瓶长续航高速电摩 | 商品名称:小牛电动摩托车FX Sport ABS成人铅酸电瓶长续航高速电摩 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:6579 | 店铺名称:小牛电动旗舰店 | 所属地区名称:江苏 | ASR:小牛电动摩托车FX Sport ABS成人千酸电平常续航高速电磨。,2,1,501
503,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/503.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/503.mp3,title:CQR越野车CB300F300CC175FM越野摩托车林道场地新手带大灯摩托车 | 商品名称:CQR越野车CB300F300CC175FM越野摩托车林道场地新手带大灯摩托车 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:5880 | 店铺名称:浙江卒玛赛车厂家 | 所属地区名称:浙江 | ASR:CQR月野车CB300F300CC175FM月野摩托车林到场地新手带大灯摩托车,2,2,502
504,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/504.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/504.mp3,title:摩兽M05复古电动摩托车成人跨骑长续航智能锂电通勤代步高速电摩 | 商品名称:摩兽M05复古电动摩托车成人跨骑长续航智能锂电通勤代步高速电摩 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:13980 | 店铺名称:摩兽旗舰店 | 所属地区名称:浙江 | ASR:握手M05复古电动摩托车程人跨旗常序行制能理电通勤代步高速电磨。,2,3,503
505,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/505.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/505.mp3,title:铃木UY125官方全新正品原装正宗整车国四进口电喷suzuki摩托车 | 商品名称:铃木UY125官方全新正品原装正宗整车国四进口电喷suzuki摩托车 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:9960 | 店铺名称:YAMAHA雅马哈摩托车销售中心 | 所属地区名称:江苏 | ASR:林母与外邀25官方全新政品原装正宗整车国四进口店铺苏苏奇摩托车,2,4,504
506,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/506.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/506.mp3,title:春风 摩托车 250CL C 全新皮肤 复古巡航车【门店自提】 | 商品名称:春风 摩托车 250CL C 全新皮肤 复古巡航车【门店自提】 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:14980 | 店铺名称:CFMOTO官方旗舰店 | 所属地区名称:浙江 | ASR:春风摩托车250 CLC全新皮肤复古寻航车 门店自体,2,5,505
507,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/507.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/507.mp3,title:【顺丰包邮】凤凰电摩2025新款高速超长续航电动车成人电动 | 商品名称:【顺丰包邮】凤凰电摩2025新款高速超长续航电动车成人电动 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:1631 | 店铺名称:凤凰旗舰店 | 所属地区名称:江苏 | ASR:顺风包油。奉皇电磨2025新款高速超常续航电动车成人电动。,2,6,506
508,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/508.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/508.mp3,title:猛士三代摩托车国四电喷全国可上牌150cc助力水冷4气门踏板车整车 | 商品名称:猛士三代摩托车国四电喷全国可上牌150cc助力水冷4气门踏板车整车 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:1000 | 店铺名称:剑齿虎摩托直销店 | 所属地区名称:浙江 | ASR:猛市三代摩托车国4.喷全国可上排150cc 助理水冷四器门踏板车整车,2,7,507
509,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/509.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/509.mp3,title:春风 cfmoto 450SR 双摇臂 2025款 【门店自提】 | 商品名称:春风 cfmoto 450SR 双摇臂 2025款 【门店自提】 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:24980 | 店铺名称:CFMOTO官方旗舰店 | 所属地区名称:浙江 | ASR:春风FMO-450S2 双摇臂2025 款门电自体,2,8,508
510,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/510.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/510.mp3,title:双11立即抢购乐高官方旗舰店42170机械组川崎Ninja H2R摩托积木 | 商品名称:双11立即抢购乐高官方旗舰店42170机械组川崎Ninja H2R摩托积木 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:529 | 店铺名称:乐高官方旗舰店 | 所属地区名称:浙江 | ASR:双11立即强构热高官方旗舰电4万2177线组穿其NJ-2R摩托机幕。,2,9,509
511,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/511.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/511.mp3,title:五羊本田2025款F125复古踏板摩托车本田摩托车本田踏板125 | 商品名称:五羊本田2025款F125复古踏板摩托车本田摩托车本田踏板125 | label:摩托车 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:9480 | 店铺名称:百亿补贴品牌优选 | 所属地区名称:广东 | ASR:护阳本田2025款F125复古踏板摩托车本田摩托车本田踏板125,2,10,510
